1000000001,100000
1000000002,10000
1000000003,42161
1000000004,87049
1000000005,26445
1000000006,16377
1000000007,14540
1000000008,21308
1000000009,60209
1000000010,91372
1000000011,97228
1000000012,83451
1000000013,40089
1000000014,65493
1000000015,87861
1000000016,50529
1000000017,11973
1000000018,53059
1000000019,52252
1000000020,31227
1000000021,96481
1000000022,18182
1000000023,49352
1000000024,60585
1000000025,81027
1000000026,93452
1000000027,89343
1000000028,63583
1000000029,69469
1000000030,10255
1000000031,31280
1000000032,69200
1000000033,13302
1000000034,65751
1000000035,33669
1000000036,52236
1000000037,37715
1000000038,41184
1000000039,20681
1000000040,98832
1000000041,43056
1000000042,43928
1000000043,20996
1000000044,88989
1000000045,77111
1000000046,57180
1000000047,91953
1000000048,59469
1000000049,27094
1000000050,67587
1000000051,38865
1000000052,81838
